Sentence,POS Tags
ಮಾರ್ ಗಾರ್ಡನೆನ ತಮನುನ ಸ್ವಾಗತ,pronoun noun pronoun verb
ತು ಪುಸ್ತಕ ವೊದರೊಕೊಂತಿ,pronoun noun verb
ವು ತಾರ್ ಸಾರು ಛೆನಿ,pronoun pronoun preposition verb
ತು ಛತ್ರಿ ಪುಚೊ,pronoun noun verb
ತು ವೊನ್ ಏಕಲಿನ ಛೋಡ ಜಕೋಣ ಠೀಕ ರಚ,pronoun pronoun adjective noun preposition verb verb
ಮಾರ್ ಜೀವನಾ ಮ ತು ಖುಷಿ ಲಾಯೋಚಿ,pronoun noun preposition pronoun noun verb
ತು ಈ ಪೆಣ್ ಉದರಿ ಲೇ ಸಕೇಚಿ,pronoun pronoun noun noun verb verb
ಕಾಂಯಿ ಬಿ ರ ಕಾನಿ ಮಕೆರೊ ಜಕೋಣ ತಮನುನ್ ಕಳೋಚ,adverb preposition verb adverb pronoun preposition pronoun verb
ತಮ್ ಮನ್ ಕನ್ನಾ ಚಾವ ಜನಾ ಫೋನ್ ಕರ್ ಸಕೋಚೊ,pronoun pronoun adverb verb conjunction noun verb verb
ತು ಕರ್ ಸಕೇಚಿ,pronoun verb verb
ತು ಅತ ರೇ ಸಕೇಚಿ ನಿತರಿ ಜಾ ಸಕೇಚಿ,pronoun adverb verb verb conjunction verb verb
ತೋನ್ ವು ಕರ್ ಸಕ್ತಾವಚ,pronoun pronoun verb verb
ತು ಮನ್ ಭಳ್ ಸಕೇಚಿ,pronoun pronoun verb verb
ತಮ್ ಅಬ್ ಜೋರ್ ಕರ್ ಸಕೋಚೊ,pronoun adverb verb verb verb
ತಮ್ ವೊನ್ ಘರ್ ಲೇಜಾ ಸಕೋಚೊ,pronoun pronoun noun verb verb
ತಮನುನ ವೊನ್ ಛೋಡ್ ಸಕ್ತಾಯೇನಿ,pronoun pronoun verb verb
ತಮ್ ಈ ಅವಕಾಶ ಛೋಡೋಮತ್,pronoun pronoun noun verb
ತಮ್ ಮುಷ್ಕಿಲ್ ಜಾಗಾ ತಿ ಆಮ್ಲೆಚೊ,pronoun adjective noun preposition verb
ತಮ್ ಏಕಾದ್ ಕಂಜೋರ್ ಮಾಣಸೆನ್ ಸಹಾಯ ಕರ್ ಸಕೋಚೊ,pronoun adjective adjective noun verb verb verb
ತಮ್ ವಾಟೆಪರ್ ಮನ್ ಲಂಗನ್ ಗೆಚೊ,pronoun noun pronoun noun verb
ತು ಕಿದೋ ಜೋಣ ಠೀಕ ಚ,pronoun verb preposition verb verb
ತಮ್ ಏಕ್ ಅದ್ಭುತ ಕಾಮ್ ಕಿದೆಚೊ,pronoun adjective adjective verb verb
ತು ಮನ್ ಪ್ರೇಮ್ ಕರೆನಿ,pronoun pronoun verb verb
ತಮಾರ್ ಕನ್ ಸ್ವಂತ ಸೈಕಲ್ ಛೆನಿ,pronoun adverb adverb noun verb
ತಮ್ ಕನ್ನಾ ವನಾ ಅಭ್ಯಾಸ ಕರೋನಿ,pronoun adverb preposition verb verb
ತು ಅಭ್ಯಾಸ ಕರ್ ಮತ,pronoun verb verb verb
ತಮ್ ಚಾ ಘಣ್ ಪಿವೊನಿ,pronoun noun adjective verb
ತಮನುನ್ ಘಾಬರಿ ವೇರ ಜರೂರತ್ ಛೆನಿ,pronoun noun verb verb verb
ತಮನುನ ಅತ್ತೆರ್ ಹವಾಮಾನ ಶಿಳೊ ಲಾಗಚ,pronoun adverb noun adjective verb
ತಮ್ ಸಿಂಹ ರ ಬಗ್ಗೆ ಭುಲನಾಕೆಚೊ,pronoun noun preposition conjunction verb
ತು ಜಲ್ದಿ ಸೋಜೋ,pronoun adverb verb
ತು ವೊ ಕಂಪನಿ ಮ ಕಾಮ್ ಕರ್ರೊತೊ,pronoun pronoun noun preposition verb verb
ತು ದಸೆಕ್ ದಾಡೆತಿ ಘಣ್ ಖಾರೋಚಿ,pronoun adjective noun adjective verb
ತು ಸೋಗೋಚಿ,pronoun verb
ತು ಘಣ ಲಾಯೋಚಿ,pronoun adjective verb
ತೊನ್ ತಾರ್ ಬಟುವಾ ಮಳಗೊಚ,pronoun pronoun noun verb
ತೊನ್ ವತ ಏಕ ಪಾಯಿಂಟ್ ಮಳಿ,pronoun adverb adjective noun verb
ಮ ತೋನ ದಸ್ ವರ್ಸೆತಿ ಮಾಲಂ ಚು,pronoun pronoun adjective noun verb verb
ತೊನ್ ಮಾರ್ ವಾತ ಚ,pronoun pronoun noun verb
ತು ಮಾ ಪರ್ ವಿಶ್ವಾಸ್ ಕರ್,pronoun pronoun preposition verb verb
ತು ಠೀಕ ಬಾಟಿ ಖಾರೊ ಕೊಂತಿ,pronoun adverb noun verb verb
ತು ಮನ್ ಫೋನ್ ಕಿದೋ ಕೊಂತಿ,pronoun pronoun noun verb verb
ತು ದಸ್ ವರ್ಸ ವೊದೋ ಕೊಂತಿ,pronoun adjective noun verb verb
ತೋನ ದಸೆಕ್ ಸಮಯ್ ಚಾವಚ,pronoun adjective noun verb
ಮ ಕತ್ರಾ ಮಜಬೂತ್ ಚು ತೊನ್ ಮಾಲಂ ಚ,pronoun adjective adjective verb pronoun verb verb
ತು ಪುಸ್ತಕ್ ಲೇ ಸಕೇಚಿ,pronoun noun verb verb
ತು ಮೋಟ್ ಲಕ್ಶ್ಯ ಮೇಲ,pronoun adjective noun verb
ತು ಘಣ್ ಮೋಟ್ ಲಕ್ಷ್ಯ ಮೇಲಮತ್,pronoun adjective adjective noun verb
ಸಫಲತಾ ಮಳನುತೊ ತು ಘಣ್ ಮೆಹನತ್ ಕರನು,noun verb pronoun adjective adjective verb
ತಮ್ ಸಾವಧಾನ ರೋ,pronoun noun verb
ತು ತಾರ್ ಕಾಮ್ ಪುರಾ ಕರನು,pronoun pronoun verb verb verb
ತು ಠೀಕ ಪ್ರದರ್ಶನ ಕರ್,pronoun adverb noun verb
ತು ವೊನ್ ದೇಕಣು,pronoun pronoun verb
ತು ಶಾಂತ ರೇಣು,pronoun adjective verb
ತು ಕಾಮ್ ಕರನು ಪಡಚ,pronoun noun verb verb
ತಮ್ ಕನಾ ವನಾ ಪೆರೆನ ಜಾವು ಕರೋ,pronoun adverb preposition verb verb verb
ತಾರ್ ಮಾ ಪರ್ ಕಾಂಯಿಕ ಋಣಾ ಚ,pronoun pronoun preposition adverb noun verb
ತಮ್ ಕಾಲೇತಿ ಠೀಕ ರಮ್ಮೆ,pronoun adverb adverb verb
ತು ಆಜ ಖರಿ ಠೀಕ ದಿಕಾರೊಚಿ,pronoun adverb adjective verb verb
ತು ಆಜ್ ಘಣ್ ಛಂದ ದಿಕಾರಿಚಿ,pronoun adverb adjective adjective verb
ತಾರ್ಮೂನ್ ತುಜ ಸಹಾಯ ಕರ್ ಲೇಣು,pronoun pronoun verb verb verb
ತು ಜಂಗಲೇತಿ ಭಾರ್ ರೇಣು,pronoun noun verb verb
ತು ಕಾಂಯಿ ತೊಬಿ ನವೋ ಚಾಲೂ ಕರ್,pronoun adverb preposition adjective verb verb
ತು ಘಣ್ ಸಮಯ ಲಿದೋ,pronoun adjective noun verb
ತು ಸ್ಟೇಷನೇನ ಚಾಲ,pronoun noun verb
ತು ವೊನ್ ಘಣ್ ದೇಕೆಚಿ,pronoun pronoun adjective verb
ತಾರ್ ಟಾಂಗ ತೊಡೆಚಿ,pronoun noun verb
ತು ಪರೀಕ್ಷಾ ಘಣ್ ಠೀಕ ದೇಚೀ,pronoun noun adjective verb verb
ತೋನ ಸಫಲತಾ ಮಳಚ,pronoun noun verb
ಕಾಮ್ ಕಿದೆ ಕತೋ ಸುಸ್ತ ವಚ,noun verb preposition verb verb
ತು ವೊನ ತಾರ್ ಡಾವಳಿ ವಡಿ ಲಂಗನ ಜಾಯೆಚಿ,pronoun pronoun pronoun adjective preposition verb verb
ತು ಅವಶ್ಯ ಸಫಲ್ ವೆಚಿ,pronoun noun verb verb
ತು ವೊನ್ ಎಕ್ಲಿನ್ ಛೋಡ ಜಕೋಣ ಠೀಕ ರಚ,pronoun pronoun adjective verb preposition verb verb
ತಮ್ ಆಜ ರಾತ್ ಬ್ಯಾಡ್ಮಿಂಟನ್ ರಮ್ಮೋಚೊ,pronoun adverb noun noun verb
ತು ಘಣ್ ಸಮಯ ಲೆರೊಚಿ,pronoun adjective noun verb
ತಾರ್ ಬೇಟಿಬೆಟ ಛಂದ ದಿಕಚ,pronoun noun adjective verb
ತಾರ್ ಕುತ್ರಾನ ಜಡ್ಡ ಚ,pronoun noun noun verb
ತಾರ್ ಹಾತ್ ಶೀಳ ವೇರೇಚ,pronoun noun adjective verb
ತಮಾರ್ ಘರ್ ಕರಮಲೆ ಜಕೋಣ ಖಾಣೊ ಮಸ್ತ್ ಚ,pronoun noun verb preposition noun adjective verb
ತಮಾರ್ ಘರ್ ನಂದಿರ ಪಾಕ್ತಿಮ್ ಚ,pronoun noun noun adverb verb
ತಮಾರ್ ಘರ್ ಘಣ್ ಛಂದ್ ಚ,pronoun noun adjective adjective verb
ತಾರ್ ಖೋಲಿ ಸಾಫ್ ಚ,pronoun noun verb verb
ವೊರ್ ಖೇತ ಮಕ್ಕಾ ತಿ ಭರೋಚ,pronoun noun noun preposition verb
ತಾರ್ ಸುಜಾವ್ ಮಾಂದೋ ಕಾವ್,pronoun noun adjective verb
ವು ವೊರ್ ಫೋನ್ ಛೋಡಗಿಚ,pronoun pronoun noun verb
ವೋರ ಲಾಂಬ ಲಟ್ಟಾ ಚ,pronoun adjective noun verb
ವು ವೊರ್ ಖೋಲಿ ಪರ್ ಕಬ್ಜ ಕರ್ ಲಿದಿಚ,pronoun pronoun noun preposition verb verb verb
ವು ಪರೀಕ್ಷಾ ಮ ಪಾಸ್ ವೇಗಿಚ,pronoun noun preposition verb verb
ವು ಸಹಾಯ ಕರುಚು ಕೇನ ವಾತ್ ದೇಮಲಿಚ,pronoun noun verb preposition verb verb
ಮ ದಿ ದಾಡೆರ್ ಅತ ಚು,pronoun adjective noun adverb verb
ಮನ್ ಈ ಪೂರಾ ವಾರ್ ಅರಾಮ್ ವೇತ್ತಿ ಕೋನಿ,pronoun pronoun adjective noun verb verb verb
ಮನ್ ಅರಾಮ್ ಛೆನಿ,pronoun verb verb
ಮ ಸಾರಿ ದಾಡೋ ವೊದರೊತೊ,pronoun adjective noun verb
ಮ ವತ್ ಜಾಮಲೋಚು,pronoun adverb verb
ಮನ್ ಪರ್ಬಾತಿ ತಿ ಪಾಣಿ ತರಸ್ ಲಾಗರಿಚ,pronoun noun preposition noun verb verb
ಮ ಮಾರ್ ಕಾಮ್ ಖುಟಾಡ್ ನಾಕೋಚು,pronoun pronoun noun verb verb
ಮ ಕಾಂಯಿಕೋ ಖಾಣೊ ಕರ್ಮಲಿಚು,pronoun adverb verb verb
ಮಾರ್ ಕನ್ ಘಣ್ ಖಾಣೊ ಚ,pronoun adverb adjective noun verb
ಮಾರ್ ಸವಾರ್ ಪರೀಕ್ಷಾ ಚ,pronoun adverb noun verb
ಮನ್ ಏಕ್ ವಾತ್ ಮಳಿಚ,pronoun adjective verb verb
ಮನ್ ಕೃಷಿ ಕರೆರ್ ಠೀಕ್ ಮಾಲಮ್ ಚ,pronoun noun verb adverb verb verb
ಮಾರ್ ಘಣ್ ಕಾಮ್ ಕರೆರ್ ಚ,pronoun adjective noun verb verb
ಮಾರ್ ಕಾನ್ ದುಕರೋಚ,pronoun noun verb
ಈ ಜಾಗ್ ಠೀಕ್ ಚ ಕೆನ್ ಮ ಸಾಮಳೋಚು,pronoun noun verb verb preposition pronoun verb
ಮನ್ ವು ಮಾಲಮ್ ಚ,pronoun pronoun verb verb
ಮ ಮಾರ್ ಕೀಲಿ ನೋ ಗಮಾಲಿದೋಚು,pronoun pronoun noun preposition verb
ಮ ವಾಟ್ ಭುಲಗೋಚು,pronoun noun verb
ಮ ವೊರ್ ಯಾಡಿನ್ ಭಳೋಚು,pronoun pronoun noun verb
ಮ ಪೆಹಲೆ ಕನ್ನಾಯಿ ಕಿದೋ ಕಾವ,pronoun adverb adverb verb verb
ಮ ಕನ್ನಾಯಿ ಕೆ ಕೊಂತಿ,pronoun adverb verb verb
ಮ ಮಾರ್ಕೆಟೇತಿ ಅಂಬಾ ಲಾವುಂಚು,pronoun noun noun verb
ಮ ವೊನ್ ಕನ್ನಾಯಿ ದಿಟೋ ಕೊಂತಿ,pronoun pronoun adverb verb verb
ಮ ವೊನ್ ಏರ್ ಆಂಗ್ ಕನ್ನಾಯಿ ದಿಟೋ ಕೊಂತಿ,pronoun pronoun adverb noun adverb verb verb
ಮ ಪಿಚ್ಚರ್ ದಿಟೋ ಕೊಂತಿ,pronoun noun verb verb
ಮಾರ್ ಕನ್ ದೂಸರ್ ವಾಟ್ ಛೆನಿ,pronoun adverb adverb noun noun
ಮಾರ್ ಕನ್ ಸುಳಿವು ಛೆನಿ,pronoun adverb noun verb
ವೊರ್ ಬಗ್ಗೆ ಮನ್ ಕಾಂಯಿ ಮಾಲಮ್ ಛೆನಿ,pronoun conjunction pronoun adverb verb verb
ಮನ್ ಮಾಲಮ್ ಛೆನಿ,pronoun verb verb
ಮಾರ್ ಕನ್ ಸಾಮಾನ್ ಲೇನ್ ಪೀಸಾ ಛೆನಿ,pronoun adverb noun verb noun verb
ಮ ಆಜ್ ಕಲ್ ವತ್ ಗೆ ಕೊಂತಿ,pronoun adverb adverb adverb verb verb
ಮ ವೊನ್ ಕಾಲೇತಿ ದಿಟೋಕೊಂತಿ,pronoun pronoun adverb verb
ಮ ಖಾಯೇರ್ ಖುಟಾಡೊಕೊಂತಿ,pronoun verb verb
ಮನ್ ಸಮಸ್ಯೆ ಚ,pronoun noun verb
ಮ ರಾತ್ ಸೋವುನಿ,pronoun noun verb
ಮ ಕಾಲೇತಿ ಸುತೋ ಕೊಂತಿ,pronoun adverb verb verb
ಮ ಆಜ್ ಸುತೋ ಕೊಂತಿ,pronoun adverb verb verb
ಕುತ್ರಾ ಸುತೋಚ,noun verb
ಮ ಕಾಂಯಿ ಪೆರೋಕೊಂತಿ,pronoun adverb verb
ಮಾರ್ ಕಾರೆಮ್ ಏಕ್ ಚ,pronoun noun adjective verb
ಮಾರ್ ಶನಿವಾರೇರ್ ದೂಸರ್ ಯೋಜನಾ ಚ,pronoun noun adverb noun verb
ಮಾರ್ ಹಾತ್ ದುಕರೋಚ,pronoun noun verb
ಮ ಏಕ್ ಕಾರ್ ದಿಟೋಚು,pronoun adjective noun verb
ಮ ವೊನ್ ಠೀಕ್ ದಿಟೋಚು,pronoun pronoun verb verb
ಮಾರ್ ಕನ್ ದೂಸರ್ ಕಾಂಯಿಕೋ ಚ,pronoun adverb adverb adverb verb
ಮ ಕಾಂಯಿಕ್ ಕರೆರ್ ಚ,pronoun adverb verb verb
ತೋನ್ ಮ ಕಾಂಯಿಕೋ ಕೇಣು,pronoun pronoun verb verb
ಮ ಘಣ್ ವೊದೋಚು,pronoun adverb verb
ಮನ್ ಮಾಲಮ್ ವೇರ್ ಹಕ್ಕ್ ಛ,pronoun noun preposition noun verb
ಮಾರ್ ತೀನ್ ಛಿಜ್ಯಾಪರ್ ಚ,pronoun adjective noun verb
ಮ ನವೋ ಜಿಗಲಾ ಲೇಣು,pronoun adjective noun verb
ಮ ಮಾರ್ ದಾದಿನ್ ಬಲಾಣು,pronoun pronoun noun verb
ಮ ಗಾಮೇನ್ ಜಾಣು,pronoun noun verb
ಮ ಅಂಚೆ ಕಚೇರಿ ನ ಜಾಣು,pronoun noun noun preposition verb
ಮ ಜಲ್ದಿ ಜಾಣು,pronoun adverb verb
ಮ ಸಾಲಿನ್ ಜಾಣು,pronoun noun verb
ಮ ಠೀಕ್ ಕರನು,pronoun adverb verb
ಮ ವೊನ್ ಡಾಕ್ಟರೇರ್ ಕನ್ ಲೇಜಾಣು,pronoun pronoun noun adverb verb
ಮ ಮಾರ್ ಸಾಮಾನ್ ಧೊಣೂ,pronoun pronoun noun verb
ಮ ಘಣ್ ಮೆಹನತೇತಿ ಕಾಮ್ ಕರನು,pronoun adjective adjective verb verb
ಮಾರ್ ಕನ್ ದಿ ಕುಕಡಿಚ,pronoun adverb adjective verb
ಮಾರ್ ದಿ ಭಾಯಿ ಭೆನ್ ಚ,pronoun adjective noun noun verb
ಮಾರ್ ದಿ ಭೇನೇಚ,pronoun adjective verb
ಮ ವತ್ ಪಾಂಚ್ ವರ್ಸ ಕಾಮ್ ಕಿದೋಚು,pronoun adverb adjective noun verb verb
ಮ ತೀನ್ ಪ್ರಬಂಧ ಲಕ್ಕೋಚು,pronoun adjective noun verb
ಮ ತೋನ್ ಘಣ್ ದಾಡ್ ವೇಗೆ ದೀಟೊ ಕೊಂತಿ,pronoun pronoun adjective noun verb verb verb
ಮ ಸುತೋ ಕೊಂತಿ,pronoun verb verb
ಮ ಕಾಮ್ ಕಿದೋ ಕೊಂತಿ,pronoun verb verb verb
ಮ ಘರೇರ್ ಕಾಮ್ ಕಿದೋ ಕೊಂತಿ,pronoun noun verb verb verb
ಮನ್ ವು ಮಾಲಮ್ ಛೆನಿ,pronoun pronoun verb verb
ಮ ಪುಸ್ತಕ್ ವೊದೋಕೊಂತಿ,pronoun noun verb
ಕುಣಕೋ ಹಾಸರೋ ಜೋಣ ಮನ್ ಸಾಮಳಾಯಿ ಚ,adverb verb preposition pronoun verb verb
ಮನ್ ತಾರ್ ಢಾಳ್ ಸಾಮಳಾಯಿ ಚ,pronoun pronoun noun verb verb
ಸೆ ಠೀಕ್ ಚ ಕೆನ್ ಮನ್ ಅನಸಾರಿಚ,noun adverb verb preposition pronoun verb
ಮನ್ ದಿ ಗ್ಲಾಸ್ ಮಳಚ ಕೆನ್ ಅನಸಾವಚ,pronoun adjective noun verb preposition verb
ಸೆ ಠೀಕ್ ವಚ್ ಕೆನ್ ಮನ್ ಅನ್ನಸಾವಚ,noun adverb verb preposition pronoun verb
ಮನ್ ದಾಡೋ ಠೀಕ ಜಾವಚ್ ಕೆನ್ ಮನ್ ಉಮ್ಮಿದ್ ಚ,pronoun noun adverb verb preposition pronoun verb verb
ಮ ಅಭಾಲೀಜ್ ವೊನ್ ಖುಟಾಡೋ,pronoun adverb pronoun verb
ಮ ಭೊಲೂಜ್ ಕಿರುಚು,pronoun verb verb
ಮನ್ ಕಾಲೇನಜ್ ಉತ್ತರ ಮಾಲಮ್ ವೇತ್ತಿ,pronoun adverb verb verb verb
ಮನ್ ಗುಲಾಬಿ ಫೂಲೆರ್ ಬಗ್ಗೆ ಮಾಲಮ್ ಚ,pronoun adjective noun conjunction verb verb
ಮನ್ ವೊರ್ ಬಗ್ಗೆ ಸೇಜ್ ಮಾಲಮ್ ಚ,pronoun pronoun conjunction noun verb verb
ಯೆ ಜಾಗಾ ರ ಬಗ್ಗೆ ಮನ್ ಸೇಜ್ ಮಾಲಮ್ ಚ,pronoun noun preposition conjunction pronoun noun verb verb
ಮನ್ ಏರ್ ಪಚತಾವ ಚ,pronoun pronoun verb verb
ಮ ಗೊಂದ್ಲಾಮ್ ಚು ಕೆನ್ ಮನ್ ಮಾಲಮ್ ಚ,pronoun noun verb preposition pronoun verb verb
ಮ ಕುಣ ಚು ಕೆನ್ ಮನ್ ಮಾಲಮ್ ಚ,pronoun adverb verb preposition pronoun verb verb
ಮನ್ ಸೇಜ್ ಫಳ್ ಪಸಂದ್ ಚ,pronoun noun noun verb verb
ಪಾಣಿ ಪಡ ಜನಾ ಮನ್ ನಾಚೆರೋ ಪಸಂದ್ ಚ,noun verb preposition noun verb verb verb
ಅಪಣುನ್ ಗಾವಡಿತಿ ದೂಧ್ ಮಳಚ,pronoun noun noun verb
ಮನ್ ದೂಧ್ ಪಿಯೆರ್ ಪಸಂದ್ ಚ,pronoun noun verb verb verb
ಮನ್ ಭಾರ್ ಖಾಯೆರೋ ಪಸಂದ್ ಚ,pronoun noun verb verb verb
ಮ ನಾಣಕ್ಯಾ ವೆತ್ತೋ ಜನಾ ತಿ ವು ಪಸಂದ್ ಚ,pronoun adjective verb preposition preposition pronoun verb verb
ವು ಕತ್ರಾ ಛಂದ್ ಚ ಜೇತಿ ಮನ್ ಪಸಂದ್ ಚ,pronoun adjective adjective verb preposition pronoun verb verb
ಮನ್ ಸೇಜ್ ಪುಸ್ತಕ್ ವೊದೆರ್ ಪಸಂದ್ ಚ,pronoun noun noun verb verb verb
ಮನ್ ಮಾರ್ ಪರಿವಾರೇರ್ ಜೋಡಿ ಸಮಯ ಬಿತಾಯೆರ್ ಪಸಂದ್ ಚ,pronoun pronoun noun preposition noun verb verb verb
ಮನ್ ಪೇರೇರ ಘಣ್ ಪಸಂದ್ ಚ,pronoun verb adjective verb verb
ಮನ್ ನವೀನ ಮಾಣಸೇತಿ ವಾತೆ ಕರೆರ್ ಪಸಂದ್ ಚ,pronoun adjective noun verb verb verb verb
ಮನ್ ನೀಲಿ ರಂಗ್ ಪಸಂದ್ ಚ,pronoun adjective adjective verb verb
ಮನ್ ವು ಹಳ್ಳಿ ಪಸಂದ್ ಚ,pronoun pronoun noun verb verb
ಮನ್ ಈ ಆಟಾ ಪಸಂದ್ ಚ,pronoun pronoun noun verb verb
ಮನ್ ಈ ಗೀದ್ ಪಸಂದ್ ಚ,pronoun pronoun noun verb verb
ಮನ್ ಈ ರಾತಡೊ ಜಿಗಲಾ ಪಸಂದ್ ಚ,pronoun pronoun adjective noun verb verb
ಮನ್ ಖಾಣೊ ಕರೆರ್ ಪಸಂದ್ ಚ,pronoun noun verb verb verb
ಮನ್ ರವಿವಾರೆರ್ ಭಾರ್ ಜಾಯೇನ್ ಪಸಂದ್ ಚ,pronoun noun noun verb verb verb
ಮನ್ ದಾಡ್ಡಿ ಪುಸ್ತಕ್ ವೊದೆರ್ ಪಸಂದ್ ಚ,pronoun adverb noun verb verb verb
ಮನ್ ಆಟಾ ರಮ್ಮೆರ್ ಪಸಂದ್ ಚ,pronoun noun verb verb verb
ಮನ್ ಸಾಲೀರ್ ಪುಸ್ತಕ್ ವೊದೇನ್ ಪಸಂದ್ ಚ,pronoun noun noun verb verb verb
ಮನ್ ಭಡಕೆರೊ ಅನ ರಮ್ಮೆರೋ ಪಸಂದ್ ಚ,pronoun noun conjunction noun verb verb
ಮನ್ ಭಡಕೆರೊ ಪಸಂದ್ ಚ,pronoun verb verb verb
ಮನ್ ಇಂದ್ರ ಧನುಷ್ ದೇಕೇರ್ ಪಸಂದ್ ಚ,pronoun noun noun verb verb verb
ಮನ್ ಪಕ್ಷಿನೋ ದೇಕೇರ್ ಪಸಂದ್ ಚ,pronoun noun verb verb verb
ಮನ್ ಅಸಾಮಾನ್ಯ ಜಿಗಲಾ ಪೇರೇರ ಪಸಂದ್ ಚ,pronoun adjective noun verb verb verb
ಮನ್ ಖೇತೇಮ್ ಕಾಮ್ ಕರೆರ್ ಪಸಂದ್ ಚ,pronoun noun verb verb verb verb
ಮನ್ ತಾಲೀಮ್ ಕರೆರ್ ಪಸಂದ್ ಚ,pronoun noun verb verb verb
ಮನ್ ನವೀನ ನವೀನ ಖಾಣೊ ಕರೆರ್ ಪಸಂದ್ ಚ,pronoun adjective adjective noun verb verb verb
ತಾರ್ ಭಾಯಿ ಮನ್ ಪಸಂದ್ ಚ,pronoun noun pronoun verb verb
ಮ ಏಕ್ ಹಳ್ಳಿರ್ ಕನ್ ರುಚು,pronoun adjective noun adverb verb
ಮ ಮಾರ್ ದೋಸ್ತೇರ್ ಘರೇರ್ ಕನ್ ರುಚು,pronoun pronoun noun noun adverb verb
ಮ ಗ್ರಾಮೀಣ ಪ್ರದೇಶೇಮ ರುಚು,pronoun noun noun verb
ಮ ಬ್ಯಾಂಕೇರ ಕನ್ ರುಚು,pronoun noun adverb verb
ಮ ತಾರ್ ಘರೇರ್ ಕನ್ ರುಚು,pronoun pronoun noun adverb verb
ಮ ಮಾರ್ ಭೇನೇರ್ ಜೋಡಿ ಹಳ್ಳಿಮ ರುಚು,pronoun pronoun noun conjunction noun verb
ಮ ಮಾರ್ ಭೇನೇರ್ ಜೋಡಿ ರುಚು,pronoun pronoun noun conjunction verb
ಮ ಸೆ ಪೀಸಾ ಗಮಾಲಿದೋಚು,pronoun noun noun verb
ಮ ಮಾರ್ ಗಡಿಯಾರ ಗಮಾಲಿದೋಚು,pronoun pronoun noun verb
ಮನ್ ಪ್ರಕೃತಿ ರ ಆಜು ಬಾಜು ರೇನ್ ಪಸಂದ್ ಚ,pronoun noun preposition noun noun verb verb verb
ಮನ್ ರೋಡೇರ್ ಬಾಜು ರ ಅಂಗಡಿನುಮ್ ಖಾಯೆನ್ ಪಸಂದ್ ಚ,pronoun noun noun preposition noun verb verb verb
ಮನ್ ನಾರಳ್ ಖಾಯೆನ್ ಪಸಂದ್ ಚ,pronoun noun verb verb verb
ಮನ್ ಸೇಜ್ ಖಾಯೆನ್ ಪಸಂದ್ ಚ,pronoun noun verb verb verb
ಮನ್ ನವೀನ ಸಿಕೇನ್ ಪಸಂದ್ ಚ,pronoun adjective verb verb verb
ಮನ್ ಗುಡ್ದಾನೋ ಪಸಂದ್ ಚ,pronoun noun verb verb
ಮ ಮಾರ್ ಕುತ್ರಾನ್ ಘಣ್ ಪ್ರೇಮ್ ಕರುಚು,pronoun pronoun noun adjective verb verb
ಮ ಮಾರ್ ಮಾ ಬಾಪೇನ್ ಪ್ರೇಮ್ ಕರುಚು,pronoun pronoun noun noun verb verb
ಮನ್ ಮಾರ್ ಭೇನೇರ್ ಜೋಡಿ ರಮ್ಮೆನ್ ಪಸಂದ್ ಚ,pronoun pronoun noun conjunction verb verb verb
ಮನ್ ಸಮಂದರ್ ಪಸಂದ್ ಚ,pronoun noun verb verb
ತು ವಾತೆ ಕರೆಚಿ ಜೋಣ ಮನ್ ಪಸಂದ್ ಚ,pronoun verb verb preposition pronoun verb verb
ಮನ್ ಈ ಹವಾಮಾನ ಪಸಂದ್ ಚ,pronoun pronoun noun verb verb
ಮನ್ ಈ ಕರೆನ್ ಪಸಂದ್ ಚ,pronoun pronoun verb verb verb
ಮ ಗಲತಿ ಕಿದೋಚು,pronoun verb verb
ಈ ಮಿಠಾಯಿ ಮ ಕಿದೋಚು,pronoun noun pronoun verb
ಬಾಸೆನ್ ಮಜ್ ಭಳೋಚು,noun pronoun verb
ಮ ವೊನ್ ಶನಿವಾರೇರ್ ಭಳೋಚು,pronoun pronoun noun verb
ಮಾರ್ ಉಪರೆರ್ ಬಾಸ್ ವ ಮತ್,pronoun noun noun verb verb
ಮ ತೀನ್ ದಾಡ್ ಗಮಾಲಿದೋ,pronoun adjective noun verb
ಮ ಅಡಗಿರ್ ಖೋಲಿ ಸ್ವಚ್ಛ ಕರನು,pronoun noun noun verb verb
ಮನ್ ಡಾಕ್ಟರೇರ್ ಜರೂರತ್ ಚ,pronoun noun verb verb
ಮನ್ ಸರಾಣ್ಯಾ ಚಾವಚ,pronoun noun verb
ಮನ್ ಅಜಿ ಏಕ್ ಕೀಲಿ ಚಾವಚ,pronoun adverb adjective noun verb
ಮನ್ ಅಜಿ ಪೇಪರ್ ಚಾವಚ,pronoun adverb noun verb
ಮನ್ ಟಿಸ್ಯು ಚಾವಚ,pronoun noun verb
ಮನ್ ತೀನ್ ಕಾಮ್ ಕರೆವಾಲ್ ಚಾವಚ,pronoun adjective verb verb verb
ಮನ್ ಏ ಪುಸ್ತಕ್ ಚಾವಚ,pronoun pronoun noun verb
ಮ ವೊನ್ ದೆಕುಚು,pronoun pronoun verb
ಮ ದೂಸರ್ ಸೆಮಾನ್ ಪೇರುಚು,pronoun noun noun verb
ಮನ್ ಶಾಂತ್ ರೇರ್ ಚಾವಚ,pronoun adjective verb verb
ಮ ಡಾಕ್ಟ್ರೇನ್ ಬಲಾ ಲಾಣುಕಾಂಯಿ,pronoun noun verb verb
